family	task	label	positive_count	negative_count	test_size	random_seed	model	Accuracy	Balanced Accuracy	ROC AUC	F1 Score	Precision	Recall	Time Taken
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	XGBClassifier	0.9891304347826086	0.975	0.99375	0.9890285626417561	0.9892793329362716	0.9891304347826086	1.7195019721984863
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	GaussianNB	0.9456521739130435	0.9652777777777778	0.9652777777777777	0.947694018698085	0.9565217391304348	0.9456521739130435	0.05832791328430176
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	KNeighborsClassifier	0.967391304347826	0.961111111111111	0.9708333333333332	0.9676749549496104	0.968273408567346	0.967391304347826	0.08046412467956543
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	Perceptron	0.9565217391304348	0.9541666666666666	0.9965277777777778	0.9572507508821042	0.9591756070016939	0.9565217391304348	0.1126241683959961
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	LGBMClassifier	0.9782608695652174	0.95	0.9888888888888888	0.9778376853390176	0.9788484136310224	0.9782608695652174	2.077979326248169
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	RandomForestClassifier	0.9782608695652174	0.95	0.9774305555555555	0.9778376853390176	0.9788484136310224	0.9782608695652174	1.0225532054901123
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	LinearDiscriminantAnalysis	0.9782608695652174	0.95	0.9479166666666666	0.9778376853390176	0.9788484136310224	0.9782608695652174	0.3050975799560547
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	LogisticRegression	0.9782608695652174	0.95	0.9944444444444445	0.9778376853390176	0.9788484136310224	0.9782608695652174	0.4103531837463379
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	RidgeClassifierCV	0.9782608695652174	0.95	0.976388888888889	0.9778376853390176	0.9788484136310224	0.9782608695652174	0.22579193115234375
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	RidgeClassifier	0.9782608695652174	0.95	0.9743055555555554	0.9778376853390176	0.9788484136310224	0.9782608695652174	0.24730491638183594
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	NearestCentroid	0.9130434782608695	0.9444444444444444	0.9444444444444444	0.9177323103154306	0.9378881987577641	0.9130434782608695	0.11519217491149902
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	LinearSVC	0.967391304347826	0.9430555555555555	0.9673611111111111	0.9670856879252682	0.9671170182752892	0.967391304347826	0.7305901050567627
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	PassiveAggressiveClassifier	0.967391304347826	0.9430555555555555	0.98125	0.9670856879252682	0.9671170182752892	0.967391304347826	0.15062546730041504
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	ExtraTreesClassifier	0.967391304347826	0.9430555555555555	0.9545138888888889	0.9670856879252682	0.9671170182752892	0.967391304347826	0.23830795288085938
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	BaggingClassifier	0.967391304347826	0.9430555555555555	0.9652777777777778	0.9670856879252682	0.9671170182752892	0.967391304347826	1.6571409702301025
BAHD	acceptor	acceptor_superclass::Phenolic acids (C6-C1)	78	288	0.25	1	AdaBoostClassifier	0.9565217391304348	0.9361111111111111	0.9909722222222223	0.9565217391304348	0.9565217391304348	0.9565217391304348	3.3253109455108643
