label	n_total_proteins	n_constant_models	score_mean	score_std	score_min	score_max	n_positive_above_threshold	positive_score_threshold
acceptor_superclass::Coumarins	334	0	-2.0341726825265827	0.6697055241390738	-3.052337646484375	5.8350958824157715	2	0.0
acceptor_superclass::Cyclic polyketides	334	0	-2.0300391305706458	0.6876083183959446	-2.702160596847534	6.351736068725586	2	0.0
acceptor_superclass::Diterpenoids	334	0	-1.8530861353445909	1.748955778573011	-3.487593173980713	6.835692882537842	16	0.0
acceptor_superclass::Fatty Acids and Conjugates	334	0	-1.940266364180165	1.5105275724484795	-4.11176872253418	6.659236907958984	14	0.0
acceptor_superclass::Fatty acyls	334	0	-1.5436368520388346	2.873634933014922	-5.049215316772461	16.037181854248047	39	0.0
acceptor_superclass::Flavonoids	334	0	-1.482044867970451	2.8012458015697086	-5.609078884124756	11.471044540405273	46	0.0
acceptor_superclass::Isoflavonoids	334	0	-1.9169962032737133	1.4552365617740441	-4.160247802734375	6.8788909912109375	12	0.0
acceptor_superclass::Lignans	334	0	-2.0344959768706454	0.6722807144278026	-3.1774299144744873	5.8176398277282715	2	0.0
acceptor_superclass::Lysine alkaloids	334	0	-2.0302341437625313	0.8084319994551281	-2.9446651935577393	6.284235954284668	3	0.0
acceptor_superclass::Monoterpenoids	334	0	-1.7264450459244722	1.7755799535028363	-4.614724159240723	6.346581935882568	24	0.0
acceptor_superclass::Naphthalenes	334	0	-1.642777909597237	2.9752307263149085	-4.810864448547363	12.82020378112793	19	0.0
acceptor_superclass::Ornithine alkaloids	334	0	-1.4608913921935116	3.7574373192621113	-6.483315944671631	16.91229820251465	37	0.0
acceptor_superclass::Phenanthrenoids	334	0	-2.019855351505165	0.7900977135362779	-3.33784556388855	5.766974925994873	3	0.0
acceptor_superclass::Phenolic acids (C6-C1)	334	0	-0.7100636102482231	5.696120623553743	-7.3822832107543945	19.28759002685547	75	0.0
acceptor_superclass::Phenylethanoids (C6-C2)	334	0	-1.7555586360729563	1.7079566033636153	-4.988630294799805	7.135375499725342	24	0.0
acceptor_superclass::Phenylpropanoids (C6-C3)	334	0	-1.5380512142364315	2.1659888643121628	-5.5784831047058105	6.208832263946533	43	0.0
acceptor_superclass::Pseudoalkaloids	334	0	-1.7819012171494033	1.8795917368994073	-4.01363468170166	7.4629340171813965	27	0.0
acceptor_superclass::Saccharides	334	0	-1.9854823679267288	1.0625861132648469	-3.3694894313812256	6.701906204223633	6	0.0
acceptor_superclass::Small peptides	334	0	-1.830754514315171	1.5244188792099362	-4.374773979187012	5.667917728424072	26	0.0
acceptor_superclass::Steroids	334	0	-1.983727805985662	0.9601144361555378	-3.508786201477051	5.437684535980225	5	0.0
acceptor_superclass::Triterpenoids	334	0	-1.926781777671711	1.2283223177273175	-3.703134298324585	5.385434150695801	10	0.0
acceptor_superclass::Tryptophan alkaloids	334	0	-1.8800819512612805	1.5750842736992339	-3.809229850769043	6.32267427444458	14	0.0
acceptor_superclass::Tyrosine alkaloids	334	0	-1.895863538016816	1.3536580843290889	-3.9386510848999023	5.028197288513184	17	0.0
